middleClassCode,middleClassName,smallClassCode,smallClassName,detailClassCode,detailClassName
hokkaido,北海道,sapporo,札幌,A,札幌・新札幌・琴似
hokkaido,北海道,sapporo,札幌,B,大通公園・時計台・狸小路
hokkaido,北海道,sapporo,札幌,C,すすきの・中島公園
hokkaido,北海道,jozankei,定山渓,,
hokkaido,北海道,wakkanai,稚内・留萌・利尻・礼文,,
hokkaido,北海道,abashiri,網走・紋別・北見・知床,,
hokkaido,北海道,kushiro,釧路・阿寒・川湯・根室,,
hokkaido,北海道,obihiro,帯広・十勝,,
hokkaido,北海道,hidaka,日高・えりも,,
hokkaido,北海道,furano,富良野・美瑛・トマム,,
hokkaido,北海道,asahikawa,旭川・層雲峡・旭岳,,
hokkaido,北海道,chitose,千歳・支笏・苫小牧・滝川・夕張・空知,,
hokkaido,北海道,otaru,小樽・キロロ・積丹・余市,,
hokkaido,北海道,niseko,ルスツ・ニセコ・倶知安,,
hokkaido,北海道,hakodate,函館・湯の川・大沼・奥尻,,
hokkaido,北海道,noboribetsu,洞爺・室蘭・登別,,
aomori,青森県,aomori,青森・浅虫温泉,,
aomori,青森県,tsugaru,津軽半島・五所川原,,
aomori,青森県,ntsugaru,白神山地・西津軽,,
aomori,青森県,hirosaki,弘前・黒石,,
aomori,青森県,towadako,八甲田・十和田湖・奥入瀬,,
aomori,青森県,hachinohe,八戸・三沢・七戸十和田,,
aomori,青森県,shimokita,下北・大間・むつ,,
iwate,岩手県,morioka,盛岡,,
iwate,岩手県,shizukuishi,雫石,,
iwate,岩手県,appi,安比高原・八幡平・二戸,,
iwate,岩手県,kuji,宮古・久慈・岩泉,,
iwate,岩手県,ofunato,釜石・大船渡・陸前高田,,
iwate,岩手県,kitakami,北上・花巻・遠野,,
iwate,岩手県,ichinoseki,奥州・平泉・一関,,
miyagi,宮城県,sendai,仙台・多賀城・名取,,
miyagi,宮城県,akiu,秋保・作並,,
miyagi,宮城県,naruko,鳴子・古川・くりこま高原,,
miyagi,宮城県,matsushima,松島・塩釜・石巻・南三陸・気仙沼,,
miyagi,宮城県,shiroishi,白石・宮城蔵王,,
akita,秋田県,akita,秋田,,
akita,秋田県,noshiro,能代・男鹿・白神,,
akita,秋田県,odate,大館・鹿角・十和田大湯・八幡平,,
akita,秋田県,tazawa,角館・大曲・田沢湖,,
akita,秋田県,yuzawa,湯沢・横手,,
akita,秋田県,honjo,由利本荘・鳥海山,,
yamagata,山形県,yamagata,山形・蔵王・天童・上山,,
yamagata,山形県,yonezawa,米沢・赤湯・高畠・長井,,
yamagata,山形県,sagae,寒河江・月山,,
yamagata,山形県,mogami,尾花沢・新庄・村山,,
yamagata,山形県,shonai,酒田・鶴岡・湯野浜・温海,,
hukushima,福島県,fukushima,福島・二本松,,
hukushima,福島県,aizu,会津若松・喜多方,,
hukushima,福島県,bandai,猪苗代・表磐梯,,
hukushima,福島県,urabandai,磐梯高原・裏磐梯,,
hukushima,福島県,koriyama,郡山・磐梯熱海,,
hukushima,福島県,minami,南会津・下郷・只見・檜枝岐,,
hukushima,福島県,nakadori,白河・須賀川,,
hukushima,福島県,hamadori,いわき・南相馬・相馬,,
ibaragi,茨城県,mito,水戸・笠間,,
ibaragi,茨城県,oarai,大洗・ひたちなか,,
ibaragi,茨城県,hitachi,日立・北茨城・奥久慈,,
ibaragi,茨城県,tsukuba,つくば・土浦・取手,,
ibaragi,茨城県,yuki,古河・結城・筑西・常総,,
ibaragi,茨城県,kashima,鹿嶋・神栖・潮来・北浦,,
tochigi,栃木県,utsunomiya,宇都宮・さくら,,
tochigi,栃木県,nikko,日光・中禅寺湖・奥日光・今市,,
tochigi,栃木県,kinugawa,鬼怒川・川治・湯西川・川俣,,
tochigi,栃木県,nasu,那須・板室・黒磯,,
tochigi,栃木県,shiobara,塩原・矢板・大田原・西那須野,,
tochigi,栃木県,mashiko,真岡・益子・茂木,,
tochigi,栃木県,koyama,小山・足利・佐野・栃木,,
gunma,群馬県,maebashi,前橋・赤城,,
gunma,群馬県,ikaho,伊香保温泉・渋川,,
gunma,群馬県,manza,万座･嬬恋･北軽井沢,,
gunma,群馬県,kusatsu,草津温泉・白根,,
gunma,群馬県,shimaonsen,四万温泉,,
gunma,群馬県,numata,水上・猿ヶ京・沼田,,
gunma,群馬県,oze,尾瀬・丸沼,,
gunma,群馬県,kiryu,伊勢崎・太田・館林・桐生,,
gunma,群馬県,takasaki,高崎,,
gunma,群馬県,fujioka,富岡・藤岡・安中・磯部温泉,,
